strategy,entry_datetime,exit_datetime,direction,lot_size,entry_price,exit_price,pnl_usd,pnl_points,exit_reason,duration_min,mfe_usd,mae_usd
NY_ORB,2026-02-13 14:35:00+00:00,2026-02-13 14:40:00+00:00,BUY,0.3,4999.185,4966.338,-985.35,-32.847,SL,5.0,0.0,-1063.05
ASIAN_MR,2026-02-16 01:20:00+00:00,2026-02-16 02:05:00+00:00,SHORT,1.06,5027.005,5017.11245,1016.81,9.592550000000482,TP_Z_NEUTRAL,45.0,454.74,-411.28
NY_ORB,2026-02-16 15:00:00+00:00,2026-02-16 15:05:00+00:00,SELL,1.98,4992.295,4980.175000000001,2399.76,12.12,TP,5.0,4678.74,0.0
NY_ORB,2026-02-17 13:55:00+00:00,2026-02-17 14:00:00+00:00,SELL,0.78,4907.578,4878.124000000001,2297.41,29.454,TP,5.0,5263.75,0.0
ASIAN_MR,2026-02-18 01:10:00+00:00,2026-02-18 02:05:00+00:00,SHORT,1.9,4886.395,4898.98076851845,-2448.3,-12.885768518449186,SL_ATR,55.0,1052.6,-2673.3
NY_ORB,2026-02-18 14:30:00+00:00,2026-02-18 15:00:00+00:00,BUY,0.77,4968.585,5001.6449999999995,2545.62,33.06,TP,30.0,3021.48,0.0
ASIAN_MR,2026-02-19 01:55:00+00:00,2026-02-19 02:15:00+00:00,SHORT,3.8,4972.755,4966.5926500000005,2227.69,5.862349999999606,TP_Z_NEUTRAL,20.0,2774.0,-1649.2
NY_ORB,2026-02-19 14:30:00+00:00,2026-02-19 14:45:00+00:00,SELL,0.48,4971.978,4996.985,-1200.32,-25.007,SL,15.0,0.0,-1322.24
NY_ORB,2026-02-20 13:45:00+00:00,2026-02-20 14:45:00+00:00,BUY,0.96,5031.795,5059.795,2688.0,28.0,TP,60.0,2717.76,0.0
NY_ORB,2026-02-23 14:35:00+00:00,2026-02-23 14:40:00+00:00,BUY,1.95,5153.845,5167.445000000001,2652.0,13.6,TP,5.0,7160.4,0.0
ASIAN_MR,2026-02-24 04:05:00+00:00,2026-02-24 05:00:00+00:00,LONG,2.33,5168.465,5181.878500000001,3055.45,13.113500000000567,TP_Z_NEUTRAL,55.0,1519.16,-1248.88
NY_ORB,2026-02-24 13:45:00+00:00,2026-02-24 16:25:00+00:00,SELL,0.51,5133.085,5143.375,-524.79,-10.29,TIME,160.0,2032.86,-1119.96
