strategy,entry_datetime,exit_datetime,direction,lot_size,entry_price,exit_price,pnl_usd,pnl_points,exit_reason,duration_min,mfe_usd,mae_usd
ASIAN_MR,2023-03-28 01:30:00+00:00,2023-03-28 02:05:00+00:00,SHORT,10.0,1962.925,1959.6420999999998,2982.9,2.9829000000001544,TP_Z_NEUTRAL,35.0,2240.0,-680.0
ASIAN_MR,2023-03-29 01:20:00+00:00,2023-03-29 01:25:00+00:00,LONG,10.0,1968.855,1967.2971359237297,-1857.86,-1.8578640762703345,SL_ATR,5.0,0.0,-1630.0
LONDON_ORB,2023-03-29 09:30:00+00:00,2023-03-29 09:32:00+00:00,BUY,10.0,1962.775,1966.949,3873.95,3.874,TP,15.0,4920.0,0.0
NY_ORB,2023-03-29 15:05:00+00:00,2023-03-29 15:58:00+00:00,BUY,10.0,1965.925,1961.485,-4740.0,-4.74,SL,270.0,3060.0,-5330.0
ASIAN_MR,2023-03-30 01:10:00+00:00,2023-03-30 01:40:00+00:00,LONG,10.0,1958.505,1957.0422617323068,-1762.74,-1.7627382676933394,SL_ATR,30.0,1630.0,-3301.0
LONDON_ORB,2023-03-30 10:30:00+00:00,2023-03-30 11:29:00+00:00,BUY,10.0,1968.105,1969.055,650.0,0.65,TIME,300.0,2983.1,0.0
NY_ORB,2023-03-30 16:00:00+00:00,2023-03-30 16:00:00+00:00,BUY,10.0,1968.458,1975.1440000000002,6385.83,6.386,TP,5.0,7617.08,0.0
ASIAN_MR,2023-03-31 01:15:00+00:00,2023-03-31 01:30:00+00:00,SHORT,10.0,1981.145,1982.4911051936176,-1646.11,-1.6461051936176319,SL_ATR,15.0,790.0,-1790.0
NY_ORB,2023-03-31 14:50:00+00:00,2023-03-31 16:29:00+00:00,SELL,10.0,1979.535,1978.538,697.22,0.697,TIME,500.0,4750.0,-1430.0
LONDON_ORB,2023-04-03 10:10:00+00:00,2023-04-03 10:15:00+00:00,BUY,10.0,1964.255,1970.5890000000004,6034.0,6.034,TP,30.0,6490.0,0.0
NY_ORB,2023-04-03 14:00:00+00:00,2023-04-03 16:29:00+00:00,BUY,10.0,1980.248,1989.998,9450.0,9.45,TIME,750.0,10110.0,-4394.0
ASIAN_MR,2023-04-04 04:00:00+00:00,2023-04-04 04:20:00+00:00,LONG,10.0,1978.525,1979.8515,1026.5,1.0264999999998963,TP_Z_NEUTRAL,20.0,1280.0,-60.0
